_id,message_id,race_id,driver_id,mechanic_name,timestamp,lap,message_text,message_type,tags
68446db7621bbd729b5147f7,msg2070,1044,20,Mike Brown,2025-06-10T09:58:00Z,34,"Front wing damage, box for repairs.",alert,"['damage', 'pitstop', 'repair']"
68446db7621bbd729b5150dc,msg4347,1046,817,Ryan Hall,2025-06-13T13:52:00Z,31,"Good job, currently P3.",info,"['position', 'info']"
68446db7621bbd729b514b60,msg2943,1052,846,Ryan Hall,2025-06-11T15:04:00Z,34,Virtual safety car deployed.,alert,"['vsc', 'alert']"
68446db7621bbd729b51416c,msg395,1059,839,Sara White,2025-06-08T02:08:00Z,30,Increase brake bias forward.,engine,"['brakes', 'bias']"
68446db7621bbd729b51532f,msg4942,1083,4,Olivia Scott,2025-06-14T09:42:00Z,35,"Check tyre temps, tyres are cold.",info,"['tyre_management', 'cold']"
68446db7621bbd729b5141e9,msg520,1092,846,Daniel Lee,2025-06-08T06:18:00Z,3,"Pit lane speeding, 5 sec penalty.",penalty,"['penalty', 'pitlane_speeding']"
68446db7621bbd729b51460a,msg1577,1093,847,Chloe Harris,2025-06-09T17:32:00Z,14,"Brake temps high, adjust pace.",engine,"['brakes', 'high_temp']"
68446db7621bbd729b514271,msg656,1098,825,Benjamin Allen,2025-06-08T10:50:00Z,16,"Save fuel, engine mode 5.",engine,"['engine', 'fuel_saving']"
68446db7621bbd729b514346,msg869,1098,815,Luke Walker,2025-06-08T17:56:00Z,36,"Red flag, enter the pit lane.",alert,"['red_flag', 'alert']"
68446db7621bbd729b514551,msg1392,1098,858,Jacob Evans,2025-06-09T11:22:00Z,42,"Pit for softs, final stint.",strategy,"['pitstop', 'softs', 'final_stint']"
68446db7621bbd729b514c3a,msg3161,1100,847,Emma Young,2025-06-11T22:20:00Z,10,"Blue flags, let car behind through.",alert,"['blue_flag', 'alert']"
68446db7621bbd729b51406e,msg141,1100,846,Chris Black,2025-06-07T17:40:00Z,57,"Check tyre temps, tyres are cold.",info,"['tyre_management', 'cold']"
68446db7621bbd729b51430d,msg812,1106,855,Emily Adams,2025-06-08T16:02:00Z,34,DRS enabled.,info,"['drs', 'info']"
68446db7621bbd729b51413f,msg350,1108,847,Mason Wright,2025-06-08T00:38:00Z,30,Increase brake bias forward.,engine,"['brakes', 'bias']"
68446db7621bbd729b51499d,msg2492,1116,852,Sara White,2025-06-11T00:02:00Z,35,"Pit for hards, tyres at limit.",strategy,"['pitstop', 'hards', 'tyre_degradation']"
68446db7621bbd729b514e1c,msg3643,1118,842,John Smith,2025-06-12T14:24:00Z,4,Prepare for safety car restart.,alert,"['safety_car', 'restart']"
68446db7621bbd729b514c8e,msg3245,1129,825,Daniel Lee,2025-06-12T01:08:00Z,9,"Pit for mediums, car behind boxing.",strategy,"['pitstop', 'mediums', 'gap']"
68446db7621bbd729b51452c,msg1355,1128,842,Olivia Scott,2025-06-09T10:08:00Z,2,"Pit lane speeding, 5 sec penalty.",penalty,"['penalty', 'pitlane_speeding']"
68446db7621bbd729b515330,msg4943,1130,842,Alex Green,2025-06-14T09:44:00Z,16,"Pit lane speeding, 5 sec penalty.",penalty,"['penalty', 'pitlane_speeding']"
68446db7621bbd729b51516f,msg4494,1131,846,Grace Clark,2025-06-13T18:46:00Z,52,"Box for softs, push now.",strategy,"['pitstop', 'softs']"
68446db7621bbd729b514912,msg2353,1133,4,Sophie King,2025-06-10T19:24:00Z,9,"Pit for hards, tyres at limit.",strategy,"['pitstop', 'hards', 'tyre_degradation']"
68446db7621bbd729b51523e,msg4701,1133,825,Nathan Lewis,2025-06-14T01:40:00Z,36,"Pit for softs, final stint.",strategy,"['pitstop', 'softs', 'final_stint']"
68446db7621bbd729b514ccc,msg3307,1134,847,Sophie King,2025-06-12T03:12:00Z,12,DRS enabled.,info,"['drs', 'info']"
68446db7621bbd729b514b39,msg2904,1142,855,Emily Adams,2025-06-11T13:46:00Z,36,"Pit for softs, final stint.",strategy,"['pitstop', 'softs', 'final_stint']"
